epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8962,1.1652,3.6964,1.49676,0.00222,0.83333,0.06881,0.04847,0.73602,3.70046,1.35778,6e-05,6e-05,6e-05
2,59.2615,0.92894,3.2877,1.33319,0.00222,0.83333,0.62836,0.46175,0.6401,3.66756,1.21407,0.000137228,0.000137228,0.000137228
3,85.9575,0.81823,2.73027,1.21529,0.00222,0.83333,0.61607,0.49871,0.68211,3.54602,1.26603,0.000211288,0.000211288,0.000211288
4,113.017,0.74603,2.36419,1.12784,0.00222,0.83333,0.56171,0.43271,0.7385,3.51298,1.32928,0.00028218,0.00028218,0.00028218
5,139.446,0.78791,2.09605,1.08991,0.00222,0.83333,0.49147,0.41046,0.74564,3.50656,1.35739,0.000349904,0.000349904,0.000349904
6,165.78,0.86049,2.05131,1.17144,0.00222,0.83333,0.52395,0.37609,0.78859,3.55928,1.34728,0.00041446,0.00041446,0.00041446
7,192.163,0.8589,2.02346,1.23854,0.02867,0.83333,0.48288,0.33236,0.89674,3.53823,1.49265,0.000475848,0.000475848,0.000475848
8,218.546,0.81388,1.78172,1.12574,0.00244,0.91667,0.46856,0.29203,0.95633,3.7161,1.40381,0.000534068,0.000534068,0.000534068
9,244.632,0.87213,1.89724,1.16191,0.00244,0.91667,0.32288,0.24166,0.94758,3.83699,1.40959,0.00058912,0.00058912,0.00058912
10,271.532,0.85538,1.86397,1.20315,0.00399,0.83333,0.3348,0.27463,1.13274,3.85924,1.51653,0.000641004,0.000641004,0.000641004
11,304.631,0.81521,1.69214,1.22154,1,0.16553,0.29916,0.24459,1.2,3.86739,1.66057,0.00068972,0.00068972,0.00068972
12,337.188,0.8469,1.78972,1.15423,0.98898,0.25,0.35921,0.30568,1.26073,3.67462,1.71813,0.000735268,0.000735268,0.000735268
13,368.432,0.82719,1.67758,1.15636,0.92995,0.25,0.40685,0.34309,1.04925,3.66141,1.44876,0.000777648,0.000777648,0.000777648
14,394.669,0.7034,1.90174,1.08363,1,0.24367,0.43089,0.35584,1.02454,3.49616,1.50253,0.00081686,0.00081686,0.00081686
15,421.345,0.83099,2.03859,1.1493,0.8002,0.33383,0.56312,0.41625,1.22675,3.74175,1.70902,0.000852904,0.000852904,0.000852904
16,447.298,0.7838,1.71299,1.07499,0.78863,0.5,0.58096,0.42393,1.18756,3.34212,1.78638,0.00088578,0.00088578,0.00088578
17,473.699,0.7713,1.45807,1.09091,0.73416,0.58333,0.59653,0.46951,1.10604,2.96157,1.68661,0.000915488,0.000915488,0.000915488
18,499.994,0.84953,1.82929,1.23948,0.48047,0.33333,0.31642,0.25056,1.10652,3.46588,1.64328,0.000942028,0.000942028,0.000942028
19,526.712,0.80916,1.65312,1.16118,0.74981,0.24981,0.29085,0.2374,1.50187,3.65655,1.99812,0.0009654,0.0009654,0.0009654
20,552.907,0.75521,1.53345,1.08119,0.51505,0.33333,0.32056,0.23239,1.73865,3.80473,2.52454,0.000985604,0.000985604,0.000985604
21,579.696,0.82592,1.63,1.18326,0.50196,0.33333,0.41801,0.30002,1.48966,3.50506,1.98901,0.00100264,0.00100264,0.00100264
22,606.07,0.75718,1.57848,1.09004,0.36183,0.41667,0.39076,0.32212,1.30157,3.06239,1.81932,0.00101651,0.00101651,0.00101651
23,632.605,0.73448,1.52379,1.08717,0.77431,0.33333,0.44508,0.3349,1.3931,3.02924,1.87738,0.00102721,0.00102721,0.00102721
24,665.306,0.81848,1.44093,1.12674,0.51768,0.5,0.47066,0.34474,1.46961,3.15126,2.22033,0.00103474,0.00103474,0.00103474
25,698.131,0.7371,1.4306,1.12049,0.58604,0.5,0.42883,0.3518,1.47443,3.10787,2.32599,0.0010391,0.0010391,0.0010391
26,730.975,0.72494,1.4325,1.08904,0.72636,0.5,0.46715,0.39978,1.36335,3.03144,2.0191,0.00101,0.00101,0.00101
27,760.836,0.72725,1.3576,1.06345,0.82712,0.5,0.48869,0.42857,1.47001,2.78895,2.12584,0.0009704,0.0009704,0.0009704
